title,url,news maker
British Prime Minister Boris Johnson to visit India as Chief Guest on Republic Day ceremony,https://c.newsnow.co.uk/A/1058927354?-461:2192,The Statesman
‘New variant’ of COVID-19 identified in South of England,https://c.newsnow.co.uk/A/1058897061?-461:2192,Holyrood Magazine
London Tier 3: Schools in Greenwich to stay open after Government legal threat,https://c.newsnow.co.uk/A/1058939469?-461:2192,LBC News
"UK warns Facebook, Twitter & other social platforms to better protect users from harmful content or face huge fines",https://c.newsnow.co.uk/A/1058948477?-461:2192,RT
UK urged to axe 'rash' easing of restrictions over Christmas,https://c.newsnow.co.uk/A/1058946076?-461:2192,9News
Putin congratulates Biden,https://c.newsnow.co.uk/A/1058948663?-14432:11,U.S. News & World Report
EU regulator brings forward Covid vaccine ruling after German pressure,https://c.newsnow.co.uk/A/1058949356?-14432:11,The Guardian
Moderna COVID-19 vaccine shows ‘no specific safety concerns’ — US regulator,https://c.newsnow.co.uk/A/1058947159?-14432:11,The Times of Israel
"McConnell acknowledges Biden, Harris won election in break with Trump",https://c.newsnow.co.uk/A/1058954041?-14432:11,The Independent
UK government told relaxing Covid rules at Christmas will cost lives,https://c.newsnow.co.uk/A/1058937494?-14432:11,Reuters
Over 65s take on jobs amid record redundancies,https://c.newsnow.co.uk/A/1058912058?-1938:2386,interactive investor
‘Illogical’ move to tier three shuts London bars,https://c.newsnow.co.uk/A/1058917330?-1938:2386,The Spirit Business
Barclays hit with £26m fine over arrears failings,https://c.newsnow.co.uk/A/1058923659?-1938:2386,BestAdvice
H&M and Zara count the cost of Covid on clothing sales as industry body warns that the jobs outlook for Britain's,https://c.newsnow.co.uk/A/1058925140?-1938:2386,This is Money
JD Sports buys Shoe Palace to expand footprint on U.S. West Coast,https://c.newsnow.co.uk/A/1058935195?-1938:2386,Reuters
Jesy Nelson's boyfriend to urged to 'take care' by Little Mix fans as she quits,https://c.newsnow.co.uk/A/1058952974?-11020:6,Daily Star
Taylor Swift explains fan led theory of third album in 'folklore' series,https://c.newsnow.co.uk/A/1058911241?-11020:6,Music-News.com
Prue Leith receives 'painless' Covid vaccination,https://c.newsnow.co.uk/A/1058952095?-11020:6,BBC
Cheryl's son Bear is adorable in video showing off home Christmas decorations,https://c.newsnow.co.uk/A/1058954277?-11020:6,HELLO! Magazine
Zack Snyder on Justice League’s potential theatrical run and R-rating: “Batman drops an F-bomb”,https://c.newsnow.co.uk/A/1058953698?-11020:6,Flickering Myth
Alonso fastest for Renault in Abu Dhabi F1 young drivers test,https://c.newsnow.co.uk/A/1058947187?-15048:5,Crash.Net
Gloucester turn to Adam Hastings after Danny Cipriani announces departure,https://c.newsnow.co.uk/A/1058953892?-15048:5,Belfast Telegraph
"Baltimore Ravens: Lamar Jackson quiets critics vs. Browns, at least for one night",https://c.newsnow.co.uk/A/1058953143?-15048:5,Sportsnaut
'You're scared to fight me': YouTuber Jake Paul challenges Conor McGregor to boxing match,https://c.newsnow.co.uk/A/1058948973?-15048:5,Canoe
European Tour announces global 2021 schedule,https://c.newsnow.co.uk/A/1058953916?-15048:5,Golf Monthly
Watch: England footballer Jack Grealish crashes Range Rover Sport into parked cars,https://c.newsnow.co.uk/A/1058948987?-833:12,Leeds Live
Liverpool v Tottenham: Jurgen Klopp credits Jose Mourinho for turning Spurs into a 'results machine',https://c.newsnow.co.uk/A/1058945735?-833:12,The National
Mikel Arteta ready to take ‘the bullets’ but believes Arsenal’s form is a blip,https://c.newsnow.co.uk/A/1058926147?-833:12,FourFourTwo
Rangers boss Steven Gerrard in emotional farewell to former Liverpool gaffer Gerard Houllier,https://c.newsnow.co.uk/A/1058941308?-833:12,Glasgow Evening Times
Celtic captain Scott Brown fired up for Hearts cup final clash as he urges Hoops to make,https://c.newsnow.co.uk/A/1058952642?-833:12,Glasgow Live
Cyberpunk 2077 on PS4 and Xbox One is borked: CD Projekt offers refunds,https://c.newsnow.co.uk/A/1058877629?-29494:15630,T3
More US government agencies hacked,https://c.newsnow.co.uk/A/1058933541?-29494:15630,BBC
"For whatever reason, Apple Fitness+ isn’t compatible with AirPlay",https://c.newsnow.co.uk/A/1058869475?-29494:15630,UberGizmo
Microsoft: This new Windows 10 preview is just to test how quickly we can issue builds,https://c.newsnow.co.uk/A/1058927739?-29494:15630,ZDNet
Apple released new App Store privacy labels that tell you exactly how you're being tracked when ,https://c.newsnow.co.uk/A/1058913009?-29494:15630,Business Insider
We got it! Japanese space agency confirms its probe has Ryugu asteroid samples,https://c.newsnow.co.uk/A/1058907076?-317:2185,The Register
Why 2020 might be the best Geminid Meteor Shower of all-time,https://c.newsnow.co.uk/A/1058951285?-317:2185,Starts With A Bang!
Jupiter Saturn conjunction: How to see the 'Christmas star' of 2020,https://c.newsnow.co.uk/A/1058953218?-317:2185,New Scientist
Chicken-sized dinosaur with ‘flamboyant’ fur mane discovered,https://c.newsnow.co.uk/A/1058889179?-317:2185,The Independent
The farthest galaxy in the universe,https://c.newsnow.co.uk/A/1058949610?-317:2185,EurekAlert!
Obama mocks Trump and says he ‘got away with’ not being born in US,https://c.newsnow.co.uk/A/1058927082?-44087:30640,The Independent
Kayleigh McEnany slammed for claiming Biden’s EC speech was ‘divisive’,https://c.newsnow.co.uk/A/1058938317?-44087:30640,The Independent
Trump's shadow presidency is coming,https://c.newsnow.co.uk/A/1058939790?-44087:30640,Salon.com
Bill Barr wants to ‘get out of Dodge’ to avoid stain of Trump’s ‘crazy’ final act: CNN White House correspondent,https://c.newsnow.co.uk/A/1058937658?-44087:30640,The Raw Story
Nearly 500 Covid-19 deaths on UK’s ‘deadliest day’ of second wave,https://c.newsnow.co.uk/A/1058942279?-49479:36804,Belfast Telegraph
The looming Covid unemployment catastrophe,https://c.newsnow.co.uk/A/1058945731?-49479:36804,The Spectator
'Critical incident' at hospital due to Covid-19,https://c.newsnow.co.uk/A/1058825703?-49479:36804,BBC
EU regulator brings forward Covid vaccine ruling after German pressure,https://c.newsnow.co.uk/A/1058949356?-49479:36804,The Guardian
EU regulator brings forward Covid vaccine ruling after German pressure,https://c.newsnow.co.uk/A/1058949356?-50233:37129,The Guardian
Fauci tells Biden and Harris to get Covid vaccine as soon as possible,https://c.newsnow.co.uk/A/1058946973?-50233:37129,The Independent
Ultraviolet LED lights can kill coronavirus,https://c.newsnow.co.uk/A/1058920580?-50233:37129,Mail Online
Everything we know about super fast-spreading new coronavirus strain,https://c.newsnow.co.uk/A/1058834435?-50233:37129,Mirror.co.uk
UK wants EU trade deal but not 'at any cost' - PM,https://c.newsnow.co.uk/A/1058945216?-40664:1099,BBC
SpAd report reveals Dominic Cummings was given a £50k payrise after general election,https://c.newsnow.co.uk/A/1058951156?-40664:1099,The London Economic
Chris Bryant apologises for heckling of Speaker at PMQs,https://c.newsnow.co.uk/A/1058938399?-40664:1099,BBC
"Dominic Cummings’s £50,000* Pay Rise and Top Paid SpAd Wages Revealed",https://c.newsnow.co.uk/A/1058948483?-40664:1099,Guido Fawkes' Blog
Covid’s new strain has the exact same symptoms to watch out for,https://c.newsnow.co.uk/A/1058949422?-49183:36126,Metro.co.uk
"If you experience these 2 symptoms before anything else, it’s COVID-19",https://c.newsnow.co.uk/A/1058842524?-49183:36126,BGR
Could the Chinese Dream be our nightmare?,https://c.newsnow.co.uk/A/1058950226?-49183:36126,The Scottish Herald
Michael Gove leads urgent talks over Christmas Covid-19 restrictions,https://c.newsnow.co.uk/A/1058947365?-49183:36126,The Scotsman
It could take a year to vaccinate entire UK against Covid,https://c.newsnow.co.uk/A/1058899462?-53963:41642,Metro.co.uk
"Vaccinating UK against Covid-19 could take a year, top scientists warn",https://c.newsnow.co.uk/A/1058885645?-53963:41642,ITV
Vaccine nurses required in Hitchin: £15 to £26 per hour to administer jab and help combat Covid,https://c.newsnow.co.uk/A/1058940478?-53963:41642,Nub News
Government advisers warn UK coronavirus vaccine rollout could take a year,https://c.newsnow.co.uk/A/1058911459?-53963:41642,Birmingham Live
"What if 300,000 died from COVID-19 in China?: Global Times editorial",https://c.newsnow.co.uk/A/1058943801?-49980:36864,Global Times
"Pfizer's CEO will wait to get a COVID-19 vaccine, and says company executives won't 'cut the",https://c.newsnow.co.uk/A/1058950463?-49980:36864,Business Insider
Is This Stock On Its Way to Making a COVID-19 Vaccine Obsolete?,https://c.newsnow.co.uk/A/1058920369?-49980:36864,The Motley Fool
"Drinking alcohol after Covid jab could stop it working, says scientist",https://c.newsnow.co.uk/A/1058887944?-49980:36864,Grimsby Live
London's latest restrictions set to deliver 'bloody nose',https://c.newsnow.co.uk/A/1058947866?-50056:36923,Hong Kong Standard
Starmer piles on pressure over the Covid Christmas amnesty,https://c.newsnow.co.uk/A/1058938722?-50056:36923,The Spectator
England star Jack Grealish is banned from driving,https://c.newsnow.co.uk/A/1058911644?-50056:36923,Mail Online
London is moving to the tightest Covid restrictions: Here's what you need to know,https://c.newsnow.co.uk/A/1058901844?-50056:36923,CNBC
Virginia Republican calls for ‘martial law’ after Electoral College confirms Biden,https://c.newsnow.co.uk/A/1058949615?-33279:25468,The Raw Story
Trump promotes tweet saying that Georgia’s GOP governor ‘will soon be going to jail’,https://c.newsnow.co.uk/A/1058946327?-33279:25468,The Raw Story
Donald Trump tweets demand to JAIL Georgia's governor Brian Kemp and secretary of state,https://c.newsnow.co.uk/A/1058951484?-33279:25468,Mail Online
Republicans are furious with Trump for pocketing the money they need for the Georgia runoffs: MSNBC’s Kasie Hunt,https://c.newsnow.co.uk/A/1058931265?-33279:25468,The Raw Story
Explorer behind bars refuses to reveal location of historic $5M coins,https://c.newsnow.co.uk/A/1058867846?-50227:37128,9News
EU: Civil society challenges EU plans to expand biometric mass surveillance,https://c.newsnow.co.uk/A/1058924911?-50227:37128,Article 19
Massive hacker attack triggers US National Security Council emergency meeting,https://c.newsnow.co.uk/A/1058878213?-50227:37128,intelNews.org
Ever Wanted to Own a P-51 Mustang? Now You Can (for $4 Million),https://c.newsnow.co.uk/A/1058877912?-50227:37128,The National Interest
Dr. Fauci just revealed his biggest fear about the new COVID-19 vaccine,https://c.newsnow.co.uk/A/1058943423?-49867:36765,BGR
Brazilian Health Regulator Says Chinese Authorities Have Not Been Transparent About Covid-19 Vaccine,https://c.newsnow.co.uk/A/1058928233?-49867:36765,Forbes
"""A very, very, very dark winter"": Biden warns Americans of pain his presidency will inherit",https://c.newsnow.co.uk/A/1058916426?-49867:36765,Axios
Donald Trump blew a pretty big hole in NBC News’ Michael Beschloss’ tweets shaming WH staffers for cutting in line for,https://c.newsnow.co.uk/A/1058827273?-49867:36765,twitchy
XR campaigners oppose 'disgusting' river pollution,https://c.newsnow.co.uk/A/1058952266?-4007:30519,BBC
"expert reaction to update to the HadCRUT global temperature data set, announced by The Met Office and the University of ",https://c.newsnow.co.uk/A/1058951275?-4007:30519,Science Media Centre
Publication of Belfast's first ever Climate Plan marks a significant day for the city,https://c.newsnow.co.uk/A/1058947717?-4007:30519,The Green Party in Northern Ireland
"India is world’s 4th biggest power in producing renewable energy, leading countries in climate",https://c.newsnow.co.uk/A/1058946290?-4007:30519,AniNews.in
‘Cult follower’ Kayleigh McEnany faces backlash after she flees questions on Electoral College vote,https://c.newsnow.co.uk/A/1058827683?-54390:41962,The Raw Story
Nebraska splits electoral votes for 2nd time in history,https://c.newsnow.co.uk/A/1058849965?-54390:41962,Associated Press
Republicans Will Take Their Assault on Democracy to Congress—and It Will Be Awful,https://c.newsnow.co.uk/A/1058909816?-54390:41962,The Nation
Latest On The Electoral College Vote,https://c.newsnow.co.uk/A/1058841913?-54390:41962,NPR
Goodnight Mr Trump video goes viral as Electoral College certifies Joe Biden president-elect,https://c.newsnow.co.uk/A/1058891144?-19467:31192,The London Economic
Trump declares ‘this Fake Election can no longer stand’ in after-midnight Twitter rant,https://c.newsnow.co.uk/A/1058879914?-19467:31192,The Raw Story
Trump refuses to concede after electoral college backs Biden,https://c.newsnow.co.uk/A/1058890156?-19467:31192,Mail Online
GOP FINALLY admits Biden is president-elect - but Graham says Trump has 'narrow path' for,https://c.newsnow.co.uk/A/1058937524?-19467:31192,Mail Online
Labour demands ‘urgent review’ of Christmas plan as pressure grows for a rethink,https://c.newsnow.co.uk/A/1058949423?-53222:40464,Metro.co.uk
"Lancashire leaders expect Preston, Blackburn, Burnley, Rossendale, Accrington, Pendle and",https://c.newsnow.co.uk/A/1058949210?-53222:40464,Lancs Live
UK nations to discuss Covid Christmas rules with plan 'under constant review',https://c.newsnow.co.uk/A/1058937304?-53222:40464,ITV
Starmer: Emergency meeting needed over Christmas relaxation decision,https://c.newsnow.co.uk/A/1058939740?-53222:40464,The Scottish Herald
Exclusive: Workforce Covid-screen suspended as system is unable to cope,https://c.newsnow.co.uk/A/1058917575?-50179:37072,ITV
Contact tracer: 'People threaten us and block our calls',https://c.newsnow.co.uk/A/1058714964?-50179:37072,BBC
"Many care home residents may not see loved ones before Christmas, charity fears",https://c.newsnow.co.uk/A/1058593076?-50179:37072,Morecambe Visitor
Here's what you need to know about rapid Covid-19 testing in Bradford,https://c.newsnow.co.uk/A/1058591927?-50179:37072,The Telegraph & Argus
"""I haven't been this excited for the future of Star Wars gaming in a long time"", says Lucasfilm Story Group creative",https://c.newsnow.co.uk/A/1058928985?-10921:41185,Gamesradar
These Star Wars games are 60% off for Xbox and PC players,https://c.newsnow.co.uk/A/1058912713?-10921:41185,Eurogamer
EA just gave every FIFA 21 player a free David Beckham card,https://c.newsnow.co.uk/A/1058909142?-10921:41185,Gamesradar
"Xbox Series X|S is getting a big console launch exclusive, in 2022",https://c.newsnow.co.uk/A/1058897757?-10921:41185,Thumbsticks
Why are Downing Street and the EU out of sync about Brexit progress?,https://c.newsnow.co.uk/A/1058953066?-34216:30767,The Week (UK)
Boris Johnson has allowed himself to be snookered by the EU,https://c.newsnow.co.uk/A/1058934087?-34216:30767,The Spectator
'The Clown': German comedy TV show mocks Boris Johnson with spoof trailer of Netflix royal hit,https://c.newsnow.co.uk/A/1058949243?-34216:30767,Yahoo! UK & Ireland
UK wants EU trade deal but not 'at any cost' - PM,https://c.newsnow.co.uk/A/1058945216?-34216:30767,BBC
Essex Tier 3: The towns in Essex that will stay in Tier 2 from Wednesday,https://c.newsnow.co.uk/A/1058826414?-54007:41456,Essex Live
Tier 3 lockdown rules in England / Latest Covid restrictions explained,https://c.newsnow.co.uk/A/1058897440?-54007:41456,The Guardian
"New Covid-19 strain found in UK spreads FASTER, is already in nearly 60 local authority areas – health secretary",https://c.newsnow.co.uk/A/1058825208?-54007:41456,RT
Gloucestershire coronavirus cases rising sharply as Tier review looms,https://c.newsnow.co.uk/A/1058826210?-54007:41456,ITV
All the areas of England moving into Tier 3 from midnight on Wednesday,https://c.newsnow.co.uk/A/1058817266?-53340:40617,Mirror.co.uk
London Tier 3: The areas of Essex and Hertfordshire also going into Tier 3 from Wednesday,https://c.newsnow.co.uk/A/1058818081?-53340:40617,My London
What are Suffolk’s chances of leaving Tier 2?,https://c.newsnow.co.uk/A/1058947777?-53340:40617,East Anglian Daily Times
Covid rules: What can I do under tier 3 restrictions in England?,https://c.newsnow.co.uk/A/1058829628?-53340:40617,BBC
